Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year,Lyrics,Tags,Genre,embeddings
1990,Alannah Myles,Black Velvet,1,1990-01-03,"Mississippi in the middle of a dry spell | Jimmie Rodgers on the Victrola up high | Mama's dancin' with baby on her shoulder | The sun is settin' like molasses in the sky |  | The boy could sing, knew how to move, everything | Always wanting more, he'd leave you longing for |  | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please |  | Up in Memphis, the music's like a heatwave | White lightning, bound to drive you wild | Mama's baby's in the heart of every schoolgirl | ""Love Me Tender"" leaves 'em cryin' in the aisle |  | The way he moved, it was a sin, so sweet and true | Always wanting more, he'd leave you longing for |  | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please |  | Every word of every song that he sang was for you | In a flash, he was gone, it happened so soon | What could you do? |  |  | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please |  | If you please | If you please | If you please",Unknown,Rock,"[-0.06419568508863449, 0.021345315501093864, 0.052542999386787415, 0.06731841713190079, -0.005274286027997732, 0.058535605669021606, 0.007938814349472523, -0.05973547324538231, 0.012732062488794327, -0.01935170404613018, -0.04777777940034866, 0.0012978346785530448, 0.05062568187713623, -0.04826214909553528, -0.009297937154769897, 0.051450490951538086, 0.06959618628025055, 0.07254950702190399, -0.06486217677593231, 0.05233751982450485, -0.010286552831530571, 0.05389684438705444, -0.04466276615858078, -2.7298568966216408e-05, -0.00469725439324975, 0.022679366171360016, -0.007281025871634483, 0.038501445204019547, -0.027475327253341675, 0.04693178832530975, -0.045368537306785583, 0.0448918379843235, -0.024324771016836166, 0.005640257149934769, 0.03495320677757263, -0.014838824048638344, -0.0707932636141777, 0.010365118272602558, -0.00631782365962863, 0.028942424803972244, 0.03083527274429798, 0.07947346568107605, -0.023373741656541824, -0.004413259215652943, -0.040220364928245544, -0.0769711285829544, 0.01916912943124771, -0.045117512345314026, -0.042060937732458115, 0.015475832857191563, -0.020348498597741127, -0.0019178737420588732, -0.00574197294190526, 0.11825516819953918, -0.0743187740445137, 0.0011386380065232515, 0.022066209465265274, 0.040368787944316864, 0.020129388198256493, 0.020464947447180748, -0.03949014097452164, -0.050762876868247986, 0.023950304836034775, -0.02408168464899063, -0.028841055929660797, 0.017712559551000595, -0.02886923775076866, 0.036083512008190155, -0.07329079508781433, 0.036625105887651443, -0.046042267233133316, 0.029222551733255386, -0.026213079690933228, 0.08823997527360916, -0.0008808444254100323, 0.012019757181406021, 0.019720368087291718, -0.036557476967573166, -0.0005196469137445092, -0.020313318818807602, -0.0411023385822773, -0.05688131973147392, 0.005012151785194874, -0.09643609076738358, -0.0728122666478157, -0.04478399455547333, -0.01570471189916134, -0.03124092146754265, -0.011121376417577267, -0.03669716790318489, -0.012457424774765968, -0.0025792603846639395, -0.12240362167358398, -0.06912732124328613, 0.062359318137168884, -0.0866846814751625, -0.0542498454451561, -0.029330065473914146, -0.04117559269070625, -0.014673002064228058, 0.04480084404349327, -0.020303647965192795, 0.02707572467625141, 0.00021691338042728603, 0.015430502593517303, -0.01330149732530117, -0.026599524542689323, 0.05286645144224167, 0.00849393755197525, -0.07585412263870239, 0.0188700333237648, 0.01335475780069828, 0.018305165693163872, 0.03193051740527153, -0.00215536099858582, -0.08846490830183029, 0.0021072980016469955, 0.020670557394623756, 0.013453634455800056, 0.046736739575862885, -0.04291047155857086, -0.011876295320689678, -0.0826481357216835, 0.006685273721814156, -0.0632578507065773, -0.027178552001714706, -0.046570971608161926, -7.520177354927582e-34, 0.0759410709142685, -0.029519129544496536, -0.058188777416944504, 0.06366056203842163, 0.1434539407491684, 0.00493476539850235, -0.01766790635883808, -0.028231903910636902, -0.04232810065150261, 0.04474346712231636, 0.00473754433915019, 0.03260299190878868, 0.04573000594973564, 0.01134926825761795, 0.009664343670010567, -0.04928364232182503, 0.013019021600484848, -0.16112962365150452, 0.015439733862876892, 0.011844702064990997, -0.06604225933551788, 0.07295937836170197, -0.006337215658277273, -0.11766848713159561, -0.08176420629024506, -0.006227938458323479, -0.04331527277827263, 0.041209056973457336, 0.028130998834967613, 0.020594360306859016, -0.05336741730570793, 0.011877725832164288, 0.05216822028160095, -0.03667914867401123, 0.01005416177213192, -0.0031288228929042816, -0.0003263562102802098, -0.005530837923288345, -0.011107253842055798, -0.01597779430449009, -0.04943951591849327, 0.0653841495513916, -0.0396895669400692, 0.09256768226623535, -0.02966137044131756, 0.0318431630730629, -0.08333927392959595, 0.055268287658691406, 0.07676059007644653, -0.039575714617967606, 0.04481246694922447, -0.012942704372107983, -0.0024178847670555115, -0.024007847532629967, 0.012676802463829517, 0.06186254322528839, -0.029331622645258904, 0.06093985587358475, 0.061650462448596954, -0.0001651636848691851, 0.03943122550845146, -0.07571300864219666, 0.10963967442512512, -0.17696653306484222, 0.045833926647901535, -0.020532287657260895, 0.027130750939249992, 0.035277947783470154, 0.006996668875217438, 0.0026119344402104616, 0.019905518740415573, -0.03652601316571236, -0.023655561730265617, -0.0048174504190683365, 0.058250706642866135, 0.007905153557658195, 0.053931280970573425, -0.027921495959162712, 0.027073178440332413, -0.05330902710556984, -0.00970595795661211, 0.03073105216026306, -0.037945251911878586, 0.049194663763046265, 0.06285766512155533, -0.13880811631679535, -0.01877043955028057, -0.099188894033432, -0.062460899353027344, -0.017476007342338562, -0.07973334193229675, 0.11041650921106339, 0.010497912764549255, -0.06523535400629044, -0.03275235369801521, -1.3154757078670595e-33, 0.09585582464933395, 0.06425710767507553, 0.07525735348463058, 0.1279698610305786, 0.024860462173819542, -0.017855927348136902, -0.0032444295939058065, 0.040607962757349014, 0.0808141753077507, -0.001034127431921661, -0.006437431555241346, -0.07797681540250778, -0.03685157373547554, -0.03082354925572872, -0.03149041533470154, 0.03161733224987984, -0.02423138916492462, 0.14436712861061096, 0.05677534639835358, 0.014593199826776981, -0.1262967586517334, 0.0755685418844223, -0.02199939452111721, 0.05940224975347519, -0.03866581618785858, -0.03429706394672394, -0.04720032215118408, 0.08208470791578293, -0.07916436344385147, -0.014249508269131184, 0.0560147650539875, -0.06672842055559158, -0.05337104573845863, -0.050110794603824615, -0.07212629169225693, 0.0316702164709568, 0.03027978166937828, -0.01414883229881525, -0.08382785320281982, 0.028833094984292984, 0.04288428649306297, -0.08078281581401825, 0.05739511549472809, 0.04002709686756134, 0.0099411029368639, 0.02565075270831585, -0.033986952155828476, 0.10873878747224808, -0.0508742518723011, 0.11031294614076614, 0.09110545367002487, -0.046545300632715225, 0.01825564354658127, 0.12431390583515167, -0.017935115844011307, -0.01210157573223114, 0.03631618246436119, -0.01126655749976635, -0.06855826079845428, 0.05844498425722122, 0.032078955322504044, 0.04303812235593796, -0.03282017260789871, -0.050326865166425705, 0.009637229144573212, 0.05160646513104439, 0.04693774878978729, -0.028012769296765327, -0.07384921610355377, 0.006954156327992678, -0.05668332055211067, -0.03718320652842522, -0.05430843308568001, 0.007169375661760569, 0.040501680225133896, 0.01355075091123581, -0.023715222254395485, -0.07687701284885406, -0.03485427051782608, 0.01541605219244957, -0.03181200101971626, -0.03426150605082512, -0.030151737853884697, 0.01727737858891487, 0.013624954968690872, 0.034326016902923584, -0.061343710869550705, -0.010653776116669178, 0.005515081342309713, -0.021270563825964928, 0.02428685873746872, 0.031498122960329056, 0.025543324649333954, -0.019717885181307793, -0.013239966705441475, -5.059485275182851e-08, 0.012235982343554497, 0.03978138044476509, -0.03843164071440697, -0.004939925391227007, 0.06401199847459793, 0.0356597937643528, 0.026733053848147392, -0.06572266668081284, 0.008972070179879665, 0.024649620056152344, -0.02764248102903366, 0.026525886729359627, 0.012308488599956036, -0.00043694511987268925, -0.011595886200666428, 0.0072244685143232346, 0.05934629961848259, -0.09432719647884369, 0.002536916406825185, -0.014346054755151272, 0.041633736342191696, 0.06590428203344345, 0.11499731242656708, -0.0580974705517292, 0.05350453034043312, -0.05632572993636131, -0.08966012299060822, 0.0088427122682333, -0.02170148678123951, 0.004713577218353748, 0.05117825046181679, 0.023256823420524597, 0.06411443650722504, -0.015620545484125614, 0.03607042506337166, -0.0627521499991417, 0.010318277403712273, -0.015113558620214462, -0.0028095636516809464, -0.006262429989874363, 0.00808719266206026, 0.052666109055280685, 0.048018086701631546, -0.04124050214886665, -0.07797548174858093, -0.08883301913738251, 0.08849130570888519, 0.09094493836164474, -0.05883399769663811, 0.092451311647892, -0.022856172174215317, -0.08384877443313599, -0.038975171744823456, 0.06065336614847183, -0.012305956333875656, -0.08783650398254395, -0.027472466230392456, 0.12095746397972107, 0.022989297285676003, -0.013047391548752785, 0.0023220840375870466, 0.08385991305112839, -0.020873280242085457, -0.08672971278429031]"
1990,George Michael,Praying For Time,1,1990-08-29,"These are the days of the open hand | They will not be the last | Look around now | These are the days of the beggars and the choosers | This is the year of the hungry man | Whose place is in the past | Hand in hand | With ignorance and legitimate excuses |  | The rich declare themselves poor | And most of us are not sure | If we have too much, but we'll take our chances | 'Cause God's stopped keeping score | I guess somewhere along the way | He must have let us all out to play | Turned his back, and all God's children | Crept out the back door |  | And it's hard to love | There's so much to hate | Hanging on to hope | When there is no hope to speak of | And the wounded skies above | Say it's much, much too late | Well, maybe we should all be praying for time |  | These are the days of the empty hand | Oh, you hold on to what you can | And charity | Is a coat you wear twice a year | This is the year of the guilty man | Your television takes a stand | And you find | That what was over there is over here |  | So you scream from behind your door | Say, ""What's mine is mine and not yours | I may have too much, but I'll take my chances | 'Cause God's stopped keeping score"" | And you cling to the things they sold you | Did you cover your eyes when they told you | That He can't come back | 'Cause He has no children to come back for? |  | It's hard to love | There's so much to hate | Hanging on to hope | When there is no hope to speak of | And the wounded skies above | Say it's much too late | So maybe we should all be praying for time",Unknown,Pop,"[-0.038916490972042084, 0.04115864634513855, 0.059333402663469315, -0.01555584091693163, 0.10039052367210388, 0.048062603920698166, 0.07329322397708893, -0.05638650804758072, 0.06366264820098877, -0.03238622471690178, -0.01468699425458908, 0.028710057958960533, 0.025219134986400604, -0.05445416271686554, -0.035881973803043365, 0.047268595546483994, -0.07402842491865158, 0.022816251963377, 0.03378811106085777, 0.05898271128535271, 0.05337291583418846, 0.07391944527626038, -0.01273894589394331, 0.05037037283182144, -0.10638192296028137, 0.04474963992834091, -0.04032759740948677, -0.004382719285786152, -0.09360738843679428, 0.04396028444170952, -0.060373131185770035, 0.006680754944682121, 0.039708081632852554, 0.004834263119846582, 0.10632438957691193, 0.06380761414766312, 0.035508815199136734, 0.041238367557525635, -0.00786215253174305, 0.05561508238315582, 0.06039058789610863, 0.00149341463111341, 0.011270268820226192, 0.05651487782597542, -0.031929273158311844, -0.014847188256680965, -0.03648631274700165, -0.01724729686975479, 0.002993798814713955, -0.01649131439626217, -0.06141752004623413, 0.022963808849453926, 0.02542603202164173, -0.03465542942285538, -0.008512124419212341, 0.03147488087415695, 0.09654329717159271, 0.003183427732437849, 0.0004130871093366295, -0.06156633421778679, -0.05478619784116745, -0.0727197453379631, 0.004797901026904583, 0.02166447788476944, -0.047433339059352875, -0.023136550560593605, 0.057510655373334885, 0.0541062131524086, -0.08532164245843887, 0.10106547921895981, -0.06554615497589111, 0.0640949085354805, -0.021160952746868134, 0.0322275310754776, -0.015387388877570629, 0.008389578200876713, -0.045389458537101746, -0.08269000053405762, -0.032770801335573196, -0.07557316869497299, -0.06017223745584488, -0.05035853758454323, 0.018169283866882324, -0.07924330234527588, -0.08364157378673553, 0.0020976008381694555, 0.0034976592287421227, -0.034167274832725525, 0.06787526607513428, -0.07026702910661697, -0.0567014105618, -0.041078634560108185, -0.02068541757762432, 0.05950054153800011, 0.03891852870583534, 0.0037645776756107807, -0.01205066405236721, -0.02908812277019024, -0.11223886162042618, 0.08278310298919678, 0.078353151679039, 0.00904757995158434, 0.05901769921183586, -0.08720390498638153, 0.030737390741705894, -0.004125216975808144, -0.07750635594129562, 0.022576017305254936, -0.07136399298906326, -0.04997120052576065, 0.06591325253248215, -0.023678913712501526, 0.055191848427057266, 0.0041043637320399284, 0.0822223350405693, -0.05880405008792877, 1.9000400470758905e-06, -0.10482890903949738, 0.018717017024755478, 0.09250950068235397, -0.03979862853884697, 0.017328256741166115, -0.06060992553830147, 0.04024500027298927, 0.005092165432870388, 0.005373967811465263, -0.03936983644962311, -1.6575695432113e-33, 0.051334794610738754, 0.07131174206733704, -0.0017029840964823961, 0.06103416159749031, 0.011076362803578377, 0.00024419481633231044, -0.056586261838674545, -0.004740052856504917, -0.03976964205503464, 0.008053021505475044, -0.03742029145359993, 0.007453523110598326, -0.013692501932382584, -0.013640610501170158, 0.01590087078511715, -0.08355069905519485, -0.041621893644332886, -0.09018567949533463, 0.05980512872338295, 0.05745304748415947, -0.03423827886581421, -0.004820409696549177, 0.020313270390033722, -0.07402262091636658, 0.0021915549878031015, -0.03401472792029381, -0.0028656653594225645, -0.023369187489151955, -0.022942466661334038, 0.011868884786963463, 0.01715569943189621, 0.03104180470108986, 0.07802261412143707, -0.00771360145881772, -0.05578141286969185, -0.01260976679623127, -0.0547247976064682, 0.021954068914055824, -0.03421119973063469, -0.04531754553318024, -0.0965331643819809, 0.005977592431008816, 0.020274806767702103, 0.06098536401987076, 0.08610789477825165, 0.01888344995677471, -0.027552690356969833, 0.021716520190238953, 0.02887547016143799, 0.007340035866945982, 0.015837224200367928, -0.043814968317747116, 0.00645363749936223, -0.06851521879434586, 0.047204580157995224, -0.07064816355705261, -0.07558569312095642, 0.009357333183288574, 0.05704133212566376, -0.037729691714048386, 0.057179540395736694, -0.04608023539185524, 0.051838360726833344, -0.07573658972978592, 0.01852421462535858, 0.051046647131443024, 0.006771384738385677, -0.02552545815706253, 0.013952954672276974, 0.05115635693073273, -0.05295026674866676, -0.012926764786243439, 0.03366946056485176, 0.002253082348033786, 0.005367147736251354, 0.06323641538619995, 0.031019970774650574, -0.04061829671263695, 0.0334835946559906, 0.04293479770421982, 0.017543796449899673, -0.04510989412665367, -0.01209384948015213, -0.00662205507978797, 0.05065131187438965, -0.1073078066110611, 0.05575745552778244, -0.13520139455795288, -0.04259870573878288, 0.09498325735330582, -0.09402302652597427, 0.0331135019659996, 0.05289818346500397, -0.11767435818910599, -0.08401203155517578, 1.43220773815686e-34, 0.06198549270629883, 0.01240327674895525, 0.07289280742406845, 0.0918920561671257, 0.009305326268076897, -0.058230169117450714, -0.05647852644324303, 0.04590902104973793, 0.03411237522959709, -0.038098763674497604, -0.11583514511585236, 0.0034763917792588472, 0.0030594791751354933, 0.020172059535980225, -0.04753372445702553, -0.030039744451642036, 0.06302151083946228, 0.03737824782729149, -0.016064634546637535, -0.0578722320497036, -0.07205408811569214, 0.06007099896669388, -0.04420143738389015, 0.048539478331804276, 0.006342669483274221, 0.05964009836316109, 0.06620453298091888, -0.017531687393784523, -0.01770620048046112, -0.06681647896766663, 0.015041861683130264, -0.09080575406551361, -0.0202823244035244, -0.0005622272146865726, -0.051581788808107376, 0.05434773489832878, 0.07235044986009598, -0.062089163810014725, -0.027164900675415993, 0.014268605038523674, -0.023130202665925026, 0.006087243091315031, -0.05972185358405113, -0.07337191700935364, -0.04136163368821144, 0.04237490892410278, 0.018206613138318062, 0.038422130048274994, -0.05567272752523422, 0.020119529217481613, 0.02426694706082344, -0.06951470673084259, 0.017104849219322205, 0.07275938242673874, 0.028793994337320328, -0.03042462281882763, -0.015929752960801125, -0.058424435555934906, -0.007722547743469477, 0.0035657186526805162, -0.08903487771749496, -0.005860165227204561, -0.05968742072582245, -0.012381663545966148, -0.0014394604368135333, -0.09134553372859955, 0.023370740935206413, 0.015829093754291534, -0.009782266803085804, 0.08020070195198059, -0.05053271725773811, -0.1103942021727562, -0.08841465413570404, -0.06441693753004074, 0.057317912578582764, 0.10638195276260376, 0.03914762660861015, -0.0008513202192261815, -0.07983265072107315, -0.030622534453868866, 0.013291973620653152, -0.09739813953638077, -0.009600521065294743, 0.10677506774663925, 0.010205366648733616, 0.08951321244239807, 0.011117576621472836, 0.07657016068696976, 0.023423202335834503, 0.10502316057682037, -0.005984143353998661, 0.01812801882624626, 0.05199284851551056, 0.004819770343601704, 0.02094489336013794, -5.5662361830854934e-08, 0.0276693943887949, 0.03762173652648926, -0.02482152171432972, -0.07184969633817673, 0.01892397552728653, 0.00841298047453165, 0.04845455661416054, -0.11054450273513794, -0.0022846178617328405, 0.09502435475587845, 0.10608170926570892, 0.05551288649439812, -0.04858017712831497, 0.0022559654898941517, 0.011462458409368992, 0.03103014826774597, -0.06775681674480438, -0.07143878191709518, -8.257458102889359e-05, -0.06228725612163544, 0.020299402996897697, 0.039696790277957916, -0.013996731489896774, -0.058603592216968536, -0.012026576325297356, 0.006373436655849218, -0.08368976414203644, -0.021450340747833252, -0.09432046115398407, 0.0066638910211622715, 0.06336284428834915, 0.008302024565637112, -0.022219592705368996, -0.015517551451921463, 0.010504545643925667, -0.050821829587221146, 0.0027572140097618103, 0.017051951959729195, 0.02374384179711342, 0.03256428241729736, 0.020611194893717766, 0.014478891156613827, 0.04111843928694725, 0.01770673133432865, -0.028569631278514862, -0.052498895674943924, 0.021723968908190727, 0.11319517344236374, -0.03269027918577194, -0.029745429754257202, -0.07736934721469879, 0.022065507248044014, 0.057467423379421234, 0.0659383237361908, 0.029379263520240784, -0.005539557430893183, 0.029533186927437782, 0.08751555532217026, -0.010482336394488811, -0.06068846583366394, 0.06014373153448105, 0.03242432326078415, -0.015047007240355015, -0.04208676889538765]"
1990,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,1,1990-05-16,"Better make tracks fast on the double | The girl's jazzy, but she's nothing but trouble! |  | Take her where she wants to go | And every day you let her know | She's the one who's always on your mind | But she just got some attitude | Leads you on then leaves you blue | Can't you see she's really just a waste, of, time? |  | One day she'll treat you nice | Then she'll turn as cold as ice | But you think your love will win her in the end | Think again! |  | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, girl ain't worth it | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) |  | She gets you hot then leaves you cold | Keeps you waiting on the phone | 'Cause she know you'll always give her one, more, try | You're not the only boy in town | And she loves playing to the crowd | But tell me do you really like standing in line? |  | Give her everything you have | And all she does is make you sad | What she really wants to do is tell her friends | She did it again! |  | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, the girl ain't worth it | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) |  | I'd like to say | She used to be my girl | But that would be a lie (That would be a lie!) | 'Cause there's no one in this whole wide world | That could keep her satisfied | I know, 'cause I tried (Yo man) |  | One thing I hate is when a girl plays fake | And tries to make me late for another date | 'Cause I've tried to make you mine for the last time | So take this here as a diss and a goodbye | She ain't worth it even though she's on the high tip | She better get a grip, and get a grip quick | Fast in a hurry, 'cause I won't buckle | The girl's jazzy, but she's nothing but trouble! |  | Give her everything you have | And all she does is make you sad | What she really wants to do is tell her friends | She did it again! |  | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, the girl ain't worth it | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, the girl ain't worth it (She's nothing but trouble) | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) |  | She ain't worth it, the girl ain't worth it | All this grief that she's been putting you (Putting you) | Putting you (Ooh) putting you through! | She ain't worth it, the girl ain't worth it (She's nothing but trouble) | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you)",Unknown,Pop,"[-0.0739189088344574, -0.04829896241426468, 0.11179845780134201, 0.0212029330432415, 0.05334505811333656, 0.029615173116326332, 0.067935049533844, 0.016913319006562233, 0.05774572864174843, -0.012355709448456764, -0.025811171159148216, -0.0011340498458594084, 0.03054075501859188, -0.013893038034439087, 6.802922871429473e-05, 0.04874996840953827, 0.10429149121046066, 0.11539806425571442, -0.09776537120342255, -0.014572982676327229, 0.024765335023403168, -0.047350507229566574, 0.0045881010591983795, 0.04872654005885124, -0.073935866355896, -0.03330294042825699, -0.05232105404138565, 0.03270278871059418, -0.059069376438856125, 0.059858910739421844, -0.0942051112651825, 0.04412560537457466, 0.020032860338687897, 0.028360316529870033, -0.008424613624811172, 0.038362789899110794, -0.09020227193832397, -0.014064108021557331, 0.03019978478550911, 0.021538494154810905, -0.004526919219642878, -0.043579764664173126, 0.012180655263364315, -0.026538770645856857, -0.08330073952674866, -0.005835551302880049, 0.023826289921998978, -0.014443967491388321, -0.06846284121274948, -0.05078650265932083, -0.06304481625556946, 0.015620698221027851, -0.0073004355654120445, 0.05622052773833275, 0.00033344249823130667, 0.04786112532019615, 0.01746448501944542, 0.016446102410554886, 0.039275381714105606, -0.04241281375288963, -0.04919010028243065, -0.06332392990589142, 0.03381012752652168, 0.0078017315827310085, 0.010532774962484837, 0.025120483711361885, 0.006234258413314819, 0.055562574416399, -0.08946001529693604, 0.11292506754398346, 0.0221723560243845, 0.04292954131960869, -0.11167533695697784, -0.020278748124837875, -0.027074532583355904, 0.07317983359098434, 0.009801123291254044, 0.011447456665337086, 0.012537685222923756, 0.05220408737659454, -0.08184982091188431, -0.09718190133571625, 0.06644269078969955, 0.009331997483968735, -0.06962659955024719, -0.09623425453901291, 0.027035778388381004, -0.06694137305021286, 0.029645513743162155, -0.09449819475412369, 0.01762267015874386, 0.026676280423998833, -0.053931526839733124, -0.0051294476725161076, 0.08729017525911331, -0.023294253274798393, -0.08474600315093994, 0.0005172319943085313, -0.06684249639511108, 0.02061244286596775, 0.17169047892093658, -0.007092718500643969, 0.06068458408117294, -0.017269784584641457, 0.025326304137706757, 0.03489193320274353, 0.03542852774262428, 0.005735958926379681, 0.01808287389576435, -0.03570001572370529, 0.1081169992685318, 0.04615578427910805, -0.011476443149149418, 0.056264109909534454, 0.08317849785089493, -0.05229436978697777, 0.06915287673473358, -0.0147025715559721, 0.0397450290620327, 0.018222898244857788, -0.012208971194922924, -0.06009660288691521, -0.04303177073597908, -0.019752485677599907, -0.07600294053554535, -0.047482024878263474, 0.014475819654762745, 1.1669357417578435e-33, 0.03307047858834267, 0.04697061702609062, 0.016544759273529053, -0.006886507850140333, 0.07788661867380142, -0.02784368395805359, -0.026118900626897812, 0.04168246313929558, -0.03761012852191925, 0.030935516580939293, -0.09950172156095505, 0.017115352675318718, -0.033867526799440384, -0.02696286141872406, 0.08859331160783768, -0.08450418710708618, -0.07032082229852676, -0.1581885665655136, 0.016578175127506256, 0.11631107330322266, 0.015121427364647388, 0.008770585991442204, 0.05831554904580116, -0.07425720244646072, -0.016532152891159058, -0.03647451102733612, -0.004546795040369034, -0.02767496556043625, -0.06040381267666817, 0.005554071627557278, -0.014497848227620125, -0.04440879449248314, 0.07360736280679703, 0.03805994987487793, -0.009583094157278538, -0.041059911251068115, -0.06184305250644684, 0.08373390138149261, -0.04803447797894478, -0.01824367418885231, -0.10986743122339249, -0.007010121829807758, 0.023656267672777176, 0.01431205216795206, 0.0403982512652874, 0.007596536539494991, -0.1216159239411354, 0.01310232374817133, 0.03591404855251312, -0.018351474776864052, -0.002604142064228654, -0.04804572835564613, -0.011681890115141869, -0.03559473901987076, 0.09743457287549973, -0.016504766419529915, 0.04114212095737457, 0.048339881002902985, 0.028865542262792587, 0.05023201182484627, 0.030778752639889717, -0.047184426337480545, 0.016767151653766632, -0.0885462611913681, 0.035029150545597076, 0.025498494505882263, 0.027714857831597328, -0.017076589167118073, 0.043944694101810455, 0.012322509661316872, -0.009076799266040325, 0.03784728795289993, 0.04056181386113167, 0.04686349630355835, 0.05837505683302879, -0.04356256127357483, 0.017505932599306107, -0.05168953910470009, 0.014183194376528263, -0.005954813677817583, -0.015887323766946793, -0.03606972470879555, -0.05087074264883995, 0.031645383685827255, 0.02593378536403179, -0.07292351126670837, 0.033420875668525696, -0.08149025589227676, 0.07720907777547836, 0.016736986115574837, -0.0489397868514061, 0.05947030708193779, 0.011866037733852863, -0.045726191252470016, -0.042885422706604004, -5.597419867755124e-34, 0.12617765367031097, 0.05335906893014908, 0.04833269119262695, 0.11146827042102814, 0.012741702608764172, -0.02425416372716427, 0.0024944450706243515, 0.02989482879638672, 0.08132472634315491, -0.07337256520986557, -0.14743578433990479, -0.08785957843065262, 0.015917589887976646, -0.03235181048512459, 0.08289579302072525, -0.04917449131608009, -0.028750089928507805, 0.02725566178560257, -0.009866749867796898, -0.031014960259199142, -0.07439892739057541, 0.026234401389956474, -0.0317462757229805, 0.11716931313276291, -0.03747597709298134, 0.02394351176917553, 0.029936904087662697, 0.026535265147686005, 0.02049296535551548, 0.00111017981544137, 0.029617799445986748, -0.12168757617473602, -0.06869667768478394, -0.0024911416694521904, -0.03892354667186737, 0.026920435950160027, -0.022365646436810493, -0.08936356008052826, -0.07125211507081985, 0.021596308797597885, -0.04558521881699562, 0.0052434708923101425, -0.03614875301718712, -0.0557461641728878, 0.027234496548771858, 0.028433462604880333, 0.05186748877167702, 0.047855477780103683, -0.006133788265287876, -0.011744611896574497, 0.08657992631196976, -0.06944075971841812, -0.0710252970457077, 0.12280035763978958, 0.023280445486307144, -0.10345052182674408, 0.057577986270189285, -0.00389065220952034, -0.0172803346067667, 0.0013736104592680931, -0.012158031575381756, -0.01769370026886463, -0.049508802592754364, 0.022830499336123466, -0.038842588663101196, -0.04199390113353729, 0.02257256954908371, -0.003357311012223363, 0.01890447549521923, 0.025297200307250023, -0.048140671104192734, 0.0015123074408620596, -0.08907963335514069, -0.01583821512758732, 0.027784306555986404, 0.11377989500761032, -0.024388007819652557, -0.04056060314178467, -0.05818172171711922, -0.003946845419704914, -0.07572515308856964, 0.0032259912695735693, -0.025616738945245743, -0.015597397461533546, 0.059685781598091125, 0.07347125560045242, 0.019749630242586136, 0.036905210465192795, -0.03373283892869949, -0.038795989006757736, 0.01165693812072277, 0.057036083191633224, 0.005551144015043974, -0.008570631965994835, -0.03525317460298538, -4.805278663866375e-08, 0.008612241595983505, 0.051119089126586914, -0.013077564537525177, -0.05154110863804817, -0.04261016100645065, 0.013973714783787727, -0.006023970432579517, -0.05415206030011177, -0.022409958764910698, -0.040034715086221695, 0.08013532310724258, 0.05304010957479477, -0.030754923820495605, -0.030158594250679016, -0.03199724107980728, 0.09516686946153641, -0.032958365976810455, 0.0007493533194065094, 0.04761375114321709, -0.018910931423306465, 0.037072088569402695, 0.028126774355769157, 0.010423646308481693, -0.0672900378704071, -0.07354637235403061, 0.032896433025598526, -0.04831106960773468, 0.04317327216267586, -0.08274295926094055, -0.03838508576154709, 0.03610149025917053, -0.01880805939435959, 0.09854330867528915, 0.002772717271000147, 0.0618094764649868, -0.03867952525615692, 0.08043353259563446, -0.015416043810546398, -0.02614288032054901, -0.034081634134054184, -0.05007683485746384, 0.04820891469717026, 0.03849215805530548, -0.019456148147583008, -0.008821586146950722, -0.04682214558124542, 0.07017634809017181, -0.021714886650443077, -0.020175300538539886, 0.009826745837926865, -0.009227811358869076, -0.016842886805534363, 0.02651071920990944, 0.03017815761268139, 0.025407424196600914, 0.0027727684937417507, -0.021282214671373367, 0.04484310746192932, 0.002445325255393982, 0.007701570633798838, -0.00456644082441926, 0.029261114075779915, 0.05421290174126625, -0.06708411872386932]"
